is_parallel_safe,trip_count,nesting_depth,flops_per_iter,total_flops,memory_footprint_bytes,arithmetic_intensity,data_reuse_ratio,coalescing_efficiency,stride_regularity,branch_divergence_count,has_reduction,hw_type_code,bus_bandwidth_gbps,peak_tflops,unified_memory,t_cpu_ms,t_gpu_ms,speedup,is_profitable
1.0,65536.0,2.0,4.0,262144.0,786432.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,1.0,15.75,6.8,0.0,0.7489828571428572,0.17456,4.290690061542491,1
1.0,262144.0,2.0,4.0,1048576.0,3145728.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,1.0,15.75,6.8,0.0,2.9959314285714287,0.52868,5.6668143840724605,1
1.0,1048576.0,2.0,4.0,4194304.0,12582912.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,1.0,15.75,6.8,0.0,11.983725714285715,1.9785600000000003,6.056791663778562,1
1.0,4194304.0,2.0,4.0,16777216.0,50331648.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,1.0,15.75,6.8,0.0,47.93490285714286,28.51196,1.681220893167038,1
1.0,4096.0,2.0,2.0,8192.0,49152.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,0.076611,0.0764,1.0027617801047122,0
1.0,16384.0,2.0,2.0,32768.0,196608.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,0.291406,0.1698,1.7161719670200235,1
1.0,65536.0,2.0,2.0,131072.0,786432.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,1.241211,0.6372399999999999,1.947792040675413,1
1.0,262144.0,2.0,2.0,524288.0,3145728.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,5.203223,4.03312,1.2901235271948268,1
1.0,1048576.0,2.0,2.0,2097152.0,12582912.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,21.831201,43.719120000000004,0.49935133644044066,0
1.0,4194304.0,2.0,2.0,8388608.0,50331648.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,1.0,15.75,6.8,0.0,86.570801,81.86779999999999,1.0574462853527273,0
1.0,4096.0,2.0,75.0,307200.0,49152.0,6.25,13.0,0.8,0.5,0.0,0.0,1.0,15.75,6.8,0.0,0.8773632351085714,0.06304,13.917564008701957,1
1.0,16384.0,2.0,75.0,1228800.0,196608.0,6.25,13.0,0.8,0.5,0.0,0.0,1.0,15.75,6.8,0.0,3.5094529404342856,0.08371999999999999,41.918931443314456,1
1.0,65536.0,2.0,75.0,4915200.0,786432.0,6.25,13.0,0.8,0.5,0.0,0.0,1.0,15.75,6.8,0.0,14.037811761737142,0.17248000000000002,81.38805520487674,1
1.0,262144.0,2.0,75.0,19660800.0,3145728.0,6.25,13.0,0.8,0.5,0.0,0.0,1.0,15.75,6.8,0.0,56.15124704694857,0.53024,105.89779542650227,1
1.0,1048576.0,2.0,75.0,78643200.0,12582912.0,6.25,13.0,0.8,0.5,0.0,0.0,1.0,15.75,6.8,0.0,224.60498818779428,1.96004,114.59204311534167,1
