is_parallel_safe,trip_count,nesting_depth,flops_per_iter,total_flops,memory_footprint_bytes,arithmetic_intensity,data_reuse_ratio,coalescing_efficiency,stride_regularity,branch_divergence_count,has_reduction,hw_type_code,bus_bandwidth_gbps,peak_tflops,unified_memory,t_cpu_ms,t_gpu_ms,speedup,is_profitable
1.0,8192.0,1.0,1.0,8192.0,98304.0,0.0833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,51.2,3.8,1.0,0.0013,0.14156,0.0091833851370443,0
1.0,65536.0,1.0,1.0,65536.0,786432.0,0.0833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,51.2,3.8,1.0,0.0123,0.1394,0.088235294117647,0
1.0,524288.0,1.0,1.0,524288.0,6291456.0,0.0833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,51.2,3.8,1.0,0.12392,0.24184,0.5124048957988753,0
1.0,2097152.0,1.0,1.0,2097152.0,25165824.0,0.0833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,51.2,3.8,1.0,1.18846,0.9612,1.2364336246358718,1
1.0,8388608.0,1.0,1.0,8388608.0,100663296.0,0.0833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,51.2,3.8,1.0,5.63022,4.07036,1.383224088287031,1
1.0,1024.0,1.0,4.0,4096.0,12288.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,51.2,3.8,1.0,0.00092,0.15086,0.0060983693490653,0
1.0,8192.0,1.0,4.0,32768.0,98304.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,51.2,3.8,1.0,0.00672,0.11562,0.0581214322781525,0
1.0,65536.0,1.0,4.0,262144.0,786432.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,51.2,3.8,1.0,0.05444,0.1616,0.3368811881188119,0
1.0,524288.0,1.0,4.0,2097152.0,6291456.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,51.2,3.8,1.0,0.43928,0.3526,1.2458309699376062,1
1.0,2097152.0,1.0,4.0,8388608.0,25165824.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,51.2,3.8,1.0,2.03462,1.39066,1.463060704988998,1
1.0,1024.0,1.0,6.0,6144.0,12288.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,51.2,3.8,1.0,0.00088,0.18322,0.0048029691081759,0
1.0,8192.0,1.0,6.0,49152.0,98304.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,51.2,3.8,1.0,0.0089,0.1327,0.06706857573474,0
1.0,65536.0,1.0,6.0,393216.0,786432.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,51.2,3.8,1.0,0.05478,0.14506,0.3776368399283055,0
1.0,262144.0,1.0,6.0,1572864.0,3145728.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,51.2,3.8,1.0,0.27848,0.24114,1.1548478062536287,1
1.0,1048576.0,1.0,6.0,6291456.0,12582912.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,51.2,3.8,1.0,1.36526,0.8655,1.5774234546504908,1
1.0,1024.0,2.0,5.0,5120.0,12288.0,0.4166666666666667,1.0,1.0,0.5,1.0,0.0,0.0,51.2,3.8,1.0,0.00026,4.38132,5.93428464481024e-05,0
1.0,4096.0,2.0,5.0,20480.0,49152.0,0.4166666666666667,1.0,1.0,0.5,1.0,0.0,0.0,51.2,3.8,1.0,0.0009,9.60122,9.37380874513864e-05,0
1.0,16384.0,2.0,5.0,81920.0,196608.0,0.4166666666666667,1.0,1.0,0.5,1.0,0.0,0.0,51.2,3.8,1.0,0.00708,18.11738,0.0003907849810513,0
1.0,65536.0,2.0,5.0,327680.0,786432.0,0.4166666666666667,1.0,1.0,0.5,1.0,0.0,0.0,51.2,3.8,1.0,0.03112,36.46546,0.0008534103230838,0
1.0,262144.0,2.0,5.0,1310720.0,3145728.0,0.4166666666666667,1.0,1.0,0.5,1.0,0.0,0.0,51.2,3.8,1.0,0.21006,74.80848,0.0028079704332984,0
1.0,1048576.0,2.0,5.0,5242880.0,12582912.0,0.4166666666666667,1.0,1.0,0.5,1.0,0.0,0.0,51.2,3.8,1.0,2.11484,149.00122,0.0141934408322294,0
1.0,4194304.0,2.0,5.0,20971520.0,50331648.0,0.4166666666666667,1.0,1.0,0.5,1.0,0.0,0.0,51.2,3.8,1.0,10.05564,300.22552,0.0334936217280929,0
1.0,256.0,2.0,5.0,1280.0,3072.0,0.4166666666666667,1.0,1.0,0.5,0.0,1.0,0.0,51.2,3.8,1.0,0.00018,2.2779,7.902015013828528e-05,0
1.0,1024.0,2.0,5.0,5120.0,12288.0,0.4166666666666667,1.0,1.0,0.5,0.0,1.0,0.0,51.2,3.8,1.0,0.00028,4.27436,6.550688290176775e-05,0
1.0,4096.0,2.0,5.0,20480.0,49152.0,0.4166666666666667,1.0,1.0,0.5,0.0,1.0,0.0,51.2,3.8,1.0,0.001,8.79878,0.0001136521199529,0
