is_parallel_safe,trip_count,nesting_depth,flops_per_iter,total_flops,memory_footprint_bytes,arithmetic_intensity,data_reuse_ratio,coalescing_efficiency,stride_regularity,branch_divergence_count,has_reduction,hw_type_code,bus_bandwidth_gbps,peak_tflops,unified_memory,t_cpu_ms,t_gpu_ms,speedup,is_profitable
1.0,65536.0,2.0,4.0,262144.0,786432.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,0.0,89.6,2.66,1.0,0.7489828571428572,0.38678999999999997,1.9364069834867945,1
1.0,262144.0,2.0,4.0,1048576.0,3145728.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,0.0,89.6,2.66,1.0,2.9959314285714287,0.69252,4.32612982812255,1
1.0,1048576.0,2.0,4.0,4194304.0,12582912.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,0.0,89.6,2.66,1.0,11.983725714285715,1.93812,6.183170141315148,1
1.0,4194304.0,2.0,4.0,16777216.0,50331648.0,0.3333333333333333,2.0,0.35,0.5,0.0,0.0,0.0,89.6,2.66,1.0,47.93490285714286,10.18542,4.706227416949213,1
1.0,4096.0,2.0,2.0,8192.0,49152.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,0.0935479738368,0.04148,2.2552549140983604,1
1.0,16384.0,2.0,2.0,32768.0,196608.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,0.3741918953472,0.07952000000000001,4.705632486760563,1
1.0,65536.0,2.0,2.0,131072.0,786432.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,1.4967675813888,0.9183700000000001,1.6298088802865944,1
1.0,262144.0,2.0,2.0,524288.0,3145728.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,5.9870703255552,1.54429,3.876908045480577,1
1.0,1048576.0,2.0,2.0,2097152.0,12582912.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,23.9482813022208,11.07456,2.162458942135922,1
1.0,4194304.0,2.0,2.0,8388608.0,50331648.0,0.16666666666666666,9996.0,0.15,0.5,0.0,0.0,0.0,89.6,2.66,1.0,95.7931252088832,74.15838,1.29173702565891,1
1.0,4096.0,2.0,75.0,307200.0,49152.0,6.25,13.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,0.8773632351085714,0.0207,42.38469734824017,1
1.0,16384.0,2.0,75.0,1228800.0,196608.0,6.25,13.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,3.5094529404342856,0.025099999999999997,139.81884224837793,1
1.0,65536.0,2.0,75.0,4915200.0,786432.0,6.25,13.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,14.037811761737142,0.8061499999999999,17.41339919585331,1
1.0,262144.0,2.0,75.0,19660800.0,3145728.0,6.25,13.0,0.8,0.5,0.0,0.0,0.0,89.6,2.66,1.0,56.15124704694857,0.6848,81.99656402883845,1
